language,data released?,code released?,model released?,tool released?
Amazigh,NOT applicable,NOT applicable,NOT applicable,n
,NOT applicable,n,NOT applicable,NOT applicable
Bavarian,y,NOT applicable,NOT applicable,NOT applicable
,y,y,NOT applicable,NOT applicable
,y,y,y,NOT applicable
,NOT applicable,y,NOT applicable,NOT applicable
,NOT applicable,NOT applicable,NOT applicable,n
,NOT applicable,NOT applicable,NOT applicable,y
Bhojpuri,NOT applicable,n,n,NOT applicable
,y,NOT applicable,NOT applicable,NOT applicable
Cherokee,y,y,,
,y,y,NOT applicable,cant reease
,y,y,NOT applicable,NOT applicable
Cree,NOT applicable,y,NOT applicable,y
,NOT applicable,y,y,NOT applicable
,y,NOT applicable,NOT applicable,NOT applicable
,NOT applicable,y,NOT applicable,y
,NOT applicable,y,NOT applicable,y
,n,NOT applicable,n,n
Crimean Tatar,y,y,NOT applicable,NOT applicable
,y,y,y,NOT applicable
Erzya,NOT applicable,y,NOT applicable,NOT applicable
,NOT applicable,y,NOT applicable,y
,y,y,y,n
Frisian,NOT applicable,NOT applicable,NOT applicable,y
,y,y,NOT applicable,NOT applicable
,NOT applicable,NOT applicable,NOT applicable,y
,NOT applicable,NOT applicable,NOT applicable,n
,NOT applicable,y,NOT applicable,n
,y,NOT applicable,NOT applicable,NOT applicable
,n,NOT applicable,NOT applicable,NOT applicable
,n,NOT applicable,NOT applicable,NOT applicable
Gagauz,NOT applicable,n,NOT applicable,NOT applicable
Hakka,n,NOT applicable,NOT applicable,NOT applicable
Ilocano,NOT applicable,NOT applicable,y,
Ko,y,NOT applicable,NOT applicable,NOT applicable
,n,n,n,NOT applicable
Lingua Franca,NOT applicable,NOT applicable,NOT applicable,n
,n,NOT applicable,NOT applicable,NOT applicable
Lombard,n,NOT applicable,NOT applicable,NOT applicable
,y,y,NOT applicable,NOT applicable
Minangkabau,y,y,NOT applicable,NOT applicable
Mirandese,n,NOT applicable,NOT applicable,NOT applicable
Nahuatl,NOT applicable,NOT applicable,NOT applicable,y
,NOT applicable,y,NOT applicable,NOT applicable
,NOT applicable,NOT applicable,y,NOT applicable
,y,NOT applicable,NOT applicable,NOT applicable
,NOT applicable,NOT applicable,NOT applicable,y
,y,y,y,y
Newar,y,y,NOT applicable,NOT applicable
Northern Sotho,n,NOT applicable,NOT applicable,NOT applicable
Odia,y,NOT applicable,NOT applicable,NOT applicable
,y,NOT applicable,NOT applicable,NOT applicable
Oromo,n,NOT applicable,NOT applicable,NOT applicable
,NOT applicable,NOT applicable,NOT applicable,y
,NOT applicable,NOT applicable,NOT applicable,n
Pashto,y,y,y,y
,NOT applicable,NOT applicable,NOT applicable,n
Picard,y,y,y,NOT applicable
,y,NOT applicable,NOT applicable,NOT applicable
Romani,n,NOT applicable,NOT applicable,NOT applicable
Saami,NOT applicable,NOT applicable,NOT applicable,y
,n,n,n,y
Seediq,y,y,NOT applicable,NOT applicable
Tulu,n,NOT applicable,NOT applicable,NOT applicable
Upper Sorbian,NOT applicable,y,y,NOT applicable
,y,y,y,NOT applicable
,n,n,n,NOT applicable
Võro,NOT applicable,NOT applicable,NOT applicable,y
Western Armenian,NOT applicable,y,NOT applicable,y
Zazaki,y,NOT applicable,NOT applicable,NOT applicable
