language,data released?,code released?,model released?,tool released?
Abui,y,y,NOT applicable,y
,y,NOT applicable,NOT applicable,NOT applicable
,y,NOT applicable,NOT applicable,NOT applicable
,n,NOT applicable,NOT applicable,NOT applicable
Ainu,n,NOT applicable,NOT applicable,NOT applicable
,NOT applicable,y,NOT applicable,NOT applicable
Apurinã,y,NOT applicable,NOT applicable,NOT applicable
Arapaho,NOT applicable,y,NOT applicable,y
,n,NOT applicable,NOT applicable,y
,NOT applicable,n,NOT applicable,NOT applicable
Bisu,y,y,NOT applicable,NOT applicable
Bodo,n,n,NOT applicable,NOT applicable
Bribri,y,y,NOT applicable,NOT applicable
Bemba,y,y,y,NOT applicable
,y,NOT applicable,NOT applicable,NOT applicable
Chatino,y,NOT applicable,NOT applicable,NOT applicable
,NOT applicable,y,NOT applicable,y
Chukchi,NOT applicable,y,NOT applicable,NOT applicable
Coptic,y,NOT applicable,NOT applicable,NOT applicable
,y,NOT applicable,NOT applicable,NOT applicable
,y,y,NOT applicable,y
,n,NOT applicable,NOT applicable,y
,y,NOT applicable,NOT applicable,y
Daakaka,NOT applicable,y,NOT applicable,NOT applicable
Dene,NOT applicable,n,NOT applicable,NOT applicable
,NOT applicable,y,NOT applicable,NOT applicable
Evenki,y,y,NOT applicable,NOT applicable
Fon,y,y,y,n
Ga,y,n,NOT applicable,NOT applicable
Gondi,y,y,NOT applicable,NOT applicable
Gronings,y,y,y,NOT applicable
Ingrian,y,y,NOT applicable,y
Jejueo,y,y,NOT applicable,NOT applicable
Mixtec,n,n,NOT applicable,NOT applicable
,NOT applicable,n,NOT applicable,NOT applicable
Mizo,n,n,NOT applicable,NOT applicable
Okinawan,n,NOT applicable,NOT applicable,NOT applicable
Oriya,y,n,n,NOT applicable
,n,NOT applicable,NOT applicable,NOT applicable
,NOT applicable,n,NOT applicable,NOT applicable
Otomi,y,y,y,y
Saxon,y,NOT applicable,NOT applicable,NOT applicable
,y,NOT applicable,NOT applicable,NOT applicable
,y,NOT applicable,NOT applicable,NOT applicable
,y,NOT applicable,NOT applicable,NOT applicable
,n,NOT applicable,NOT applicable,NOT applicable
Seneca,NOT applicable,y,NOT applicable,NOT applicable
Shughni,NOT applicable,NOT applicable,NOT applicable,y
Sylheti,y,y,NOT applicable,NOT applicable
Syriac,y,NOT applicable,NOT applicable,NOT applicable
,y,y,NOT applicable,NOT applicable
Tamasheq,y,NOT applicable,y,NOT applicable
Tanana,n,y,NOT applicable,n
Tepehua,y,NOT applicable,NOT applicable,NOT applicable
Western Neo-Aramaic,y,NOT applicable,NOT applicable,NOT applicable
Wolaytta,n,NOT applicable,NOT applicable,NOT applicable
Yupik,y,NOT applicable,NOT applicable,NOT applicable
,NOT applicable,n,NOT applicable,NOT applicable
,y,NOT applicable,NOT applicable,NOT applicable
