promise to release data?,data link given?,promise to release code?,code link given?,promise to release model?,model link given?
no,,,,,
no,,,,,
,,yes,no,,
no,,,,,
,,no,,no,
,,no,,,
yes,yes,,,,
yes,yes,yes,yes,no,
no,no,no,no,yes,yes
no,,,,,
no,,,,,
no,,no,,,
yes,no,no,,,
,,yes,yes,no,
,,no,,no,
,,no,,no,
yes,yes,no,,,
,,no,,no,
no,,no,,no,
no,,no,,,
no,,no,,,
no,,,,,
no,,,,,
no,,,,,
no,,no,,,
,,no,,,
,,no,,,
no,,no,,,
,,no,,,
yes,yes,yes,yes,,
,,yes,yes,,
,,no,,,
yes,yes,yes,yes,yes,yes
no,,no,,no,
yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,yes,yes
yes,yes,yes,yes,,
,,,,no,
,,,,no,
,,no,,no,
yes,no,,,,
yes,yes,no,,,
yes,no,no,,,
yes,no,no,,no,
,,no,,no,
,,no,,no,
,,no,,,
,,,,no,
no,,,,no,
,,yes,yes,yes,no
,,no,,no,
,,,,no,
,,no,,no,
,,no,,yes,no
no,,,,no,
no,,,,,
,,no,,no,
yes,no,no,,no,
,,,,no,
,,no,,no,
,,no,,no,
no,,,,,
,,,,no,
no,,,,no,
no,,no,,no,
no,,,,,
no,,,,no,
no,,,,no,
no,,no,,no,
,,no,,,
,,yes,,no,
no,,,,,
yes,no,no,,yes,no
no,,,,,
no,,,,,
,,no,,,
yes,yes,no,,no,
,,no,,no,
,,yes,yes,no,
,,no,,no,
yes,yes,no,,no,
no,,,,,
,,no,,no,
,,no,,,
,,no,,,
,,no,,,
,,yes,yes,no,
no,,no,,yes,yes
,,no,,no,
,,no,,no,
yes,no,no,,no,
yes,yes,yes,yes,yes,yes
,,yes,yes,yes,yes
,,no,,,
,,no,,no,
,,no,,,
,,yes,yes,,
yes,yes,no,,,
no,,no,,no,
,,no,,no,
,,no,,,
,,no,,,
no,,no,,,
,,yes,yes,,
,,yes,yes,,
yes,yes,,,no,
no,,,,,
