Language	ISO code	Datasets	Models
English English	en	7596	34392
Chinese 中文	zh	901	3433
French Français	fr	812	3144
Spanish Español	es	635	2440
Russian Русский	ru	601	1712
German Deutsch	de	601	2569
Japanese 日本語	ja	455	2012
Portuguese Português	pt	451	1328
Korean 한국어	ko	388	1816
Arabic اللغة العربية	ar	381	1204
Italian Italiano	it	379	1475
Vietnamese Tiếng Việt	vi	341	881
Polish język polski	pl	309	911
Hindi हिन्दी	hi	299	1074
Dutch Nederlands	nl	295	1059
Indonesian Bahasa Indonesia	id	288	901
Turkish Türkçe	tr	287	1060
Bengali বাংলা	bn	237	655
Swedish Svenska	sv	235	968
Thai ไทย	th	232	697
Catalan Català	ca	231	639
Czech čeština	cs	214	607
Danish dansk	da	212	629
Finnish suomi	fi	207	865
Romanian Română	ro	206	705
Persian فارسی	fa	204	659
Tamil தமிழ்	ta	192	593
Hungarian magyar	hu	189	572
Ukrainian Українська	uk	188	668
Greek Ελληνικά	el	174	561
Telugu తెలుగు	te	169	498
Slovenian slovenski jezik	sl	167	491
Malay Bahasa Malaysia	ms	158	482
Bulgarian български език	bg	156	554
Urdu اردو	ur	149	559
Malayalam മലയാളം	ml	149	510
Slovak slovenčina	sk	148	436
Marathi मराठी	mr	146	532
Hebrew עברית	he	143	493
Estonian eesti	et	142	526
Croatian Hrvatski	hr	141	413
Norwegian Norsk	no	136	533
Basque euskara	eu	135	465
Swahili Kiswahili	sw	131	517
Gujarati ગુજરાતી	gu	131	487
Serbian српски језик	sr	128	456
Lithuanian lietuvių kalba	lt	127	440
Latvian latviešu valoda	lv	123	382
Kannada ಕನ್ನಡ	kn	122	456
Indonesian	ind	119	20
Panjabi ਪੰਜਾਬੀ	pa	112	450
Icelandic Íslenska	is	108	496
Maltese Malti	mt	106	283
Nepali नेपाली	ne	100	434
Afrikaans Afrikaans	af	99	418
Galician galego	gl	98	438
Tagalog Wikang Tagalog	tl	98	354
Oriya ଓଡ଼ିଆ	or	97	280
Sinhala සිංහල	si	96	373
Albanian Shqip	sq	95	321
Irish Gaeilge	ga	92	298
Armenian Հայերեն	hy	90	379
Norwegian Bokmål Norsk bokmål	nb	89	187
Amharic አማርኛ	am	88	398
Kazakh қазақ тілі	kk	88	378
Welsh Cymraeg	cy	86	394
Esperanto Esperanto	eo	86	296
Yoruba Yorùbá	yo	85	383
Assamese অসমীয়া	as	84	390
Burmese ဗမာစာ	my	83	398
Khmer ខេមរភាសា	km	82	356
Georgian ქართული	ka	81	411
Macedonian македонски јазик	mk	80	394
Belarusian беларуская мова	be	79	391
Azerbaijani azərbaycan dili	az	79	342
Hausa هَوُسَ	ha	76	365
Uzbek Ўзбек	uz	74	314
Igbo Asụsụ Igbo	ig	71	274
Kyrgyz Кыргызча	ky	70	257
Kinyarwanda Ikinyarwanda	rw	69	209
Norwegian Nynorsk Norsk nynorsk	nn	69	234
Mongolian Монгол хэл	mn	68	423
Latin latine	la	66	300
Somali Soomaaliga	so	64	330
Javanese basa Jawa	jv	64	282
Cebuano	ceb	64	178
Pashto پښتو	ps	63	301
Xhosa isiXhosa	xh	63	327
Breton brezhoneg	br	62	237
Zulu isiZulu	zu	60	244
Tatar татар теле	tt	59	195
Kurdish Kurdî	ku	59	185
Tajik тоҷикӣ	tg	59	241
Uyghur ئۇيغۇرچە‎	ug	58	148
Lao ພາສາ	lo	58	326
Bosnian bosanski jezik	bs	57	272
Ganda Luganda	lg	57	197
English	eng	55	150
Central Kurdish	ckb	54	72
Sindhi सिन्धी	sd	54	295
Luxembourgish Lëtzebuergesch	lb	54	265
Minangkabau	min	54	71
Asturian	ast	53	83
Yue Chinese	yue	52	134
Western Frisian Frysk	fy	52	210
Scottish Gaelic Gàidhlig	gd	52	233
Sanskrit संस्कृतम्	sa	51	238
Occitan occitan	oc	51	204
Twi Twi	tw	50	128
Yiddish ייִדיש	yi	50	262
Wolof Wollof	wo	50	191
Tibetan བོད་ཡིག	bo	49	178
Sundanese Basa Sunda	su	49	310
Bashkir башҡорт теле	ba	48	207
Haitian Kreyòl ayisyen	ht	48	272
Turkmen Türkmen	tk	48	161
Pedi	nso	48	139
Faroese føroyskt	fo	47	183
Maithili	mai	47	72
Shona chiShona	sn	47	296
Divehi Dhivehi	dv	46	133
Guaraní Avañe'ẽ	gn	46	96
Tswana Setswana	tn	45	163
Chichewa chiCheŵa	ny	44	213
Achinese	ace	42	59
Chuvash чӑваш чӗлхи	cv	42	63
Yakut саха тыла	sah	42	33
Bambara bamanankan	bm	42	139
Kabyle	kab	42	52
Māori te reo Māori	mi	41	213
Interlingua Interlingua	ia	41	31
Buginese	bug	41	43
Malagasy fiteny malagasy	mg	40	287
Tigrinya ትግርኛ	ti	40	108
Iloko	ilo	40	94
Southern Sotho Sesotho	st	39	185
Lingala Lingála	ln	39	261
Waray (Philippines)	war	39	89
Egyptian Arabic	arz	37	63
Upper Sorbian	hsb	37	20
Banjar	bjn	37	46
Eastern Mari олык марий	mhr	36	5
Venetian	vec	36	61
Santali	sat	36	53
Quechua Runa Simi	qu	36	276
Tsonga Xitsonga	ts	35	149
Low German	nds	35	18
Afar Afaraf	aa	35	148
Romansh rumantsch grischun	rm	35	42
Limburgish Limburgs	li	34	52
South Azerbaijani	azb	34	45
Friulian	fur	33	45
Oromo Afaan Oromoo	om	33	124
Javanese	jav	33	5
Kirundi Ikirundi	rn	33	163
Balinese	ban	33	58
Sardinian sardu	sc	33	52
Crimean Tatar	crh	33	60
Abkhaz аҧсуа бызшәа	ab	33	93
Ligurian	lij	32	46
Sicilian	scn	32	59
Ido Ido	io	32	22
Lombard	lmo	31	47
Sundanese	sun	31	3
Silesian	szl	31	46
Akan Akan	ak	31	150
Aragonese aragonés	an	30	48
Tosk Albanian	als	30	47
Ossetian ирон æвзаг	os	29	42
Tok Pisin	tpi	29	52
Latgalian	ltg	29	59
Fon	fon	29	148
Papiamento	pap	29	71
Ewe Eʋegbe	ee	28	98
Walloon walon	wa	28	30
Chamorro Chamoru	ch	28	45
Volapük Volapük	vo	28	16
Samoan gagana fa'a Samoa	sm	28	134
Northern Kurdish	kmr	28	47
Cornish Kernewek	kw	27	27
Marathi	mar	27	48
Lojban	jbo	27	4
Pangasinan	pag	27	71
Chechen нохчийн мотт	ce	27	54
Erzya эрзянь кель	myv	27	26
Nigerian Pidgin	pcm	26	52
Manipuri	mni	26	65
Swati SiSwati	ss	26	87
Kashmiri कश्मीरी	ks	26	71
Kikuyu Gĩkũyũ	ki	26	120
Tumbuka	tum	26	110
Pampanga	pam	26	19
Western Panjabi	pnb	26	15
Wu Chinese	wuu	25	4
Piemontese	pms	24	15
Scots	sco	24	23
Luo (Kenya and Tanzania)	luo	24	57
Corsican corsu	co	24	82
Kongo Kikongo	kg	24	74
Dzongkha རྫོང་ཁ	dz	24	74
Bhojpuri	bho	24	59
