nlp/cl tasks,0,1,2,3,4,5,Total
Corpora,19,22,11,11,11,29,103
Translation,10,12,8,6,10,6,52
Morphological Analyzer,11,8,2,3,1,0,25
Asr,5,1,10,4,3,0,23
Language Model,1,2,10,1,2,5,21
Parsers,4,5,3,1,3,4,20
Data Sets,6,1,5,3,4,0,19
Dictionary/Lexicon,6,4,1,1,3,3,18
Ner,1,0,3,5,7,2,18
Text Classification,1,2,1,2,1,9,16
Pos,1,6,3,2,2,1,15
Cross-Lingual,2,1,3,6,2,0,14
Text Generation,0,0,0,0,6,4,10
Hate Speech Detection,0,0,2,6,1,0,9
Mis-Info Detection,0,0,0,4,3,1,8
Wordnets/Ontology/Taxonomy,3,1,0,2,0,1,7
Discorse,0,2,1,1,2,1,7
Qna,0,1,2,1,3,0,7
Nlp Tools,1,4,1,0,0,0,6
Semantic (Other),0,0,0,0,1,5,6
Tokenizer,0,0,1,2,0,2,5
Semantic Similarity,0,0,0,3,1,1,5
Multiple Tasks,0,0,1,3,0,0,4
Spelling And Grammar,0,1,1,0,1,1,4
Summarizing,0,0,0,3,1,0,4
Phonological Analyzer,0,1,0,2,1,0,4
Sentiment Analyzer,0,0,1,1,2,0,4
Text-To-Speech,0,2,1,0,0,0,3
Transliteration,0,0,2,0,1,0,3
Inference,0,0,0,0,3,0,3
Coreference,0,0,0,0,3,0,3
Ie,0,0,1,1,0,0,2
Bli,0,1,0,0,1,0,2
Ocr,0,1,0,0,0,1,2
Langid,0,0,1,0,0,0,1
Intent Detection,1,0,0,0,0,0,1
News/Sm Reccomendation,0,0,0,0,1,0,1
Text Classification,0,0,1,0,0,0,1
Stemming,0,0,0,0,1,0,1
Total,72,78,76,74,81,76,457
