,Class,language,data,code,model,tool
0,0,Abui,GitHub,GitHub,0,Other
1,0,Abui,GitHub,0,0,0
2,0,Abui,GitHub,0,0,0
3,0,Abui,Other,0,0,0
4,0,Ainu,GitHub,0,0,0
5,0,Ainu,0,Bitbucket,0,0
6,0,Apurinã,GitHub,0,0,0
7,0,Arapaho,0,GitHub,0,Other
8,0,Arapaho,Other,0,0,Other
9,0,Arapaho,0,Bitbucket,0,0
10,0,Bisu,Hugging Face,GitHub,0,0
11,0,Bribri,GitHub,GitHub,0,0
12,0,Bemba,GitHub,GitHub,Hugging Face,0
13,0,Bemba,GitHub,0,0,0
14,0,Chatino,GitHub,0,0,0
15,0,Chatino,0,Bitbucket,0,Bitbucket
16,0,Chukchi,0,GitHub,0,0
17,0,Coptic,GitHub,0,0,0
18,0,Coptic,GitHub,0,0,0
19,0,Coptic,GitHub,GitHub,0,Other
20,0,Coptic,0,0,0,Other
21,0,Coptic,GitHub,0,0,Other
22,0,Daakaka,0,GitLab,0,0
23,0,Dene,0,GitHub,0,0
24,0,Dene,0,GitHub,0,0
25,0,Evenki,GitHub,GitHub,0,0
26,0,Fon,GitHub,GitHub,Google Drive,Hugging Face
27,0,Ga,Other,Other,0,0
28,0,Gondi,GitHub,GitHub,0,0
29,0,Gronings,Zenodo,GitHub,GitHub,0
30,0,Ingrian,Google Drive,GitHub,0,Other
31,0,Jejueo,GitHub,GitHub,0,0
32,0,Mixtec,0,0,0,0
33,0,Mixtec,GitHub,GitHub,0,0
34,0,Mizo,GitHub,0,0,0
35,0,Okinawan,0,0,0,0
36,0,Oriya,GitHub,0,0,0
37,0,Oriya,Other,0,0,0
38,0,Oriya,0,GitHub,0,0
39,0,Otomi,Other,GitHub,GitHub,Other
40,0,Saxon,GitHub,0,0,0
41,0,Saxon,GitHub,0,0,0
42,0,Saxon,GitHub,0,0,0
43,0,Saxon,GitHub,0,0,0
44,0,Saxon,0,0,0,0
45,0,Seneca,0,GitHub,0,0
46,0,Shughni,0,0,0,Other
47,0,Sylheti,GitHub,GitHub,0,0
48,0,Syriac,GitHub,0,0,0
49,0,Syriac,GitHub,GitHub,0,0
50,0,Tamasheq,GitHub,0,Hugging Face,0
51,0,Tanana,0,GitHub,0,Other
52,0,Tepehua,Other,0,0,0
53,0,Western Neo-Aramaic,Zenodo,0,0,0
54,0,Wolaytta,0,0,0,0
55,0,Yupik,Other,0,0,0
56,0,Yupik,0,GitHub,0,0
57,0,Yupik,GitHub,0,0,0
58,1,Amazigh,0,0,0,0
59,1,Amazigh,0,Other,0,0
60,1,Bavarian,Other,0,0,0
61,1,Bavarian,0,GitHub,0,0
62,1,Bavarian,Hugging Face,GitHub,Other,0
63,1,Bavarian,0,GitHub,0,0
64,1,Bavarian,0,0,0,Other
65,1,Bavarian,0,0,0,Other
66,1,Bhojpuri,0,0,0,0
67,1,Bhojpuri,GitHub,0,0,0
68,1,Cherokee,GitHub,0,0,0
69,1,Cherokee,GitHub,GitHub,0,Other
70,1,Cherokee,GitHub,0,0,0
71,1,Cree,0,GitHub,0,Other
72,1,Cree,0,GitHub,0,0
73,1,Cree,GitHub,0,0,0
74,1,Cree,0,GitHub,0,Other
75,1,Cree,0,GitHub,0,Other
76,1,Cree,Other,0,Other,Other
77,1,Crimean Tatar,GitHub,0,0,0
78,1,Crimean Tatar,GitHub,0,0,0
79,1,Erzya,0,GitHub,0,0
80,1,Erzya,0,GitHub,0,Other
81,1,Erzya,GitHub,0,0,Hugging Face
82,1,Frisian,0,0,0,Other
83,1,Frisian,0,GitHub,0,0
84,1,Frisian,0,0,0,Other
85,1,Frisian,0,0,0,Other
86,1,Frisian,0,Bitbucket,0,Other
87,1,Frisian,GitHub,0,0,0
88,1,Frisian,0,0,0,0
89,1,Frisian,Other,0,0,0
90,1,Gagauz,0,Other,0,0
91,1,Hakka,0,0,0,0
92,1,Ilocano,0,0,GitHub,0
93,1,Ko,GitHub,0,0,0
94,1,Ko,GitHub,0,0,0
95,1,Lingua Franca,0,0,0,GitHub
96,1,Lingua Franca,Other,0,0,0
97,1,Lombard,0,0,0,0
98,1,Lombard,GitHub,0,0,0
99,1,Minangkabau,GitHub,0,0,0
100,1,Mirandese,Other,0,0,0
101,1,Nahuatl,0,0,0,Other
102,1,Nahuatl,0,GitHub,0,0
103,1,Nahuatl,0,0,Other,0
104,1,Nahuatl,Zenodo,0,0,0
105,1,Nahuatl,0,0,0,Other
106,1,Nahuatl,Other,0,0,0
107,1,Newar,GitHub,0,0,0
108,1,Northern Sotho,0,0,0,0
109,1,Odia,GitHub,0,0,0
110,1,Odia,Other,0,0,0
111,1,Oromo,0,0,0,0
112,1,Oromo,0,0,0,GitHub
113,1,Oromo,0,0,0,0
114,1,Pashto,Other,0,0,0
115,1,Pashto,0,0,0,0
116,1,Picard,0,0,0,0
117,1,Picard,Zenodo,0,0,0
118,1,Romani,Other,0,0,0
119,1,Saami,0,0,0,Other
